Frame_name,track_id,x_min_norm,y_min_norm,x_max_norm,y_max_norm,class_label,direction,confidence_detection,inference_time_detection (ms),FPS (CPU),FPS (GPU),confidence_track,inference_time_track (ms),payload_label,prob_harmful,
FUSED_BIRD_068142_001,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0.0289,
FUSED_BIRD_068142_002,1,0.64375,0.207031,0.7125,0.269531,0,0,0.4445,781.33,0,0,0,0,normal,0.0421,
FUSED_BIRD_068142_003,1,0.64375,0.207031,0.7125,0.269531,0,0,0.2946,776.47,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_004,1,0.640625,0.210938,0.709375,0.269531,0,0,0.7064,443.15,0,0,0,0,normal,0.0289,
FUSED_BIRD_068142_005,1,0.640625,0.210938,0.7125,0.265625,0,0,0.7757,628.85,0,0,0,0,normal,0.1358,
FUSED_BIRD_068142_006,1,0.6375,0.207031,0.709375,0.269531,0,0,0.363,679.23,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_007,1,0.6375,0.207031,0.709375,0.269531,0,0,0.387,739.68,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_008,2,0.640625,0.207031,0.709375,0.269531,0,0,0.35,428.94,0,0,0,0,normal,0.0756,
FUSED_BIRD_068142_009,1,0.634375,0.207031,0.709375,0.265625,0,0,0.5808,678.9,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_010,1,0.63125,0.207031,0.709375,0.265625,0,0,0.3472,503.91,0,0,0,0,normal,0.0294,
FUSED_BIRD_068142_011,1,0.63125,0.210938,0.70625,0.269531,0,0,0.4117,495.13,0,0,0,0,normal,0.0474,
FUSED_BIRD_068142_012,1,0.634375,0.210938,0.703125,0.265625,0,0,0.7863,687.57,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_013,1,0.63125,0.210938,0.703125,0.265625,0,0,0.7912,611.65,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_014,1,0.63125,0.210938,0.70625,0.269531,0,0,0.6088,698.43,0,0,0,0,normal,0.0447,
FUSED_BIRD_068142_015,0,0,0,0,0,0,0,0,866.69,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_016,1,0.628125,0.210938,0.703125,0.269531,0,0,0.7409,454.81,0,0,0,0,normal,0.0291,
FUSED_BIRD_068142_017,1,0.621875,0.210938,0.7,0.269531,0,0,0.5147,670.91,0,0,0,0,normal,0.0356,
FUSED_BIRD_068142_018,2,0.621875,0.210938,0.7,0.269531,0,0,0.4694,664.27,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_019,1,0.625,0.210938,0.7,0.269531,0,0,0.6123,689.37,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_020,2,0.625,0.210938,0.7,0.273438,0,0,0.2577,575.71,0,0,0,0,normal,0.6633,
FUSED_BIRD_068142_021,1,0.61875,0.210938,0.696875,0.273438,0,0,0.7608,614.3,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_022,1,0.621875,0.214844,0.696875,0.273438,0,0,0.4745,667.41,0,0,0,0,normal,0.0291,
FUSED_BIRD_068142_023,2,0.621875,0.214844,0.696875,0.273438,0,0,0.3465,734.83,0,0,0,0,normal,0.0568,
FUSED_BIRD_068142_024,1,0.61875,0.214844,0.696875,0.273438,0,0,0.4414,416.3,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_025,2,0.61875,0.210938,0.696875,0.273438,0,0,0.3894,750.87,0,0,0,0,normal,0.0295,
FUSED_BIRD_068142_026,1,0.615625,0.214844,0.69375,0.273438,0,0,0.8523,746.71,0,0,0,0,normal,0.1022,
FUSED_BIRD_068142_027,1,0.61875,0.210938,0.69375,0.269531,0,0,0.6764,692.93,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_028,1,0.615625,0.210938,0.69375,0.269531,0,0,0.5945,676.44,0,0,0,0,normal,0.029,
FUSED_BIRD_068142_029,1,0.615625,0.210938,0.69375,0.269531,0,0,0.6777,629.04,0,0,0,0,normal,0.1229,
FUSED_BIRD_068142_030,1,0.61875,0.210938,0.690625,0.269531,0,0,0.402,600.66,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_031,1,0.615625,0.210938,0.690625,0.269531,0,0,0.6784,702.22,0,0,0,0,normal,0.0293,
FUSED_BIRD_068142_032,1,0.6125,0.210938,0.690625,0.269531,0,0,0.4595,682.1,0,0,0,0,normal,0.0883,
FUSED_BIRD_068142_033,0,0,0,0,0,0,0,0,775.96,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_034,1,0.6125,0.210938,0.690625,0.269531,0,0,0.3913,426.91,0,0,0,0,normal,0.0293,
FUSED_BIRD_068142_035,1,0.61875,0.210938,0.68125,0.265625,0,0,0.5845,398,0,0,0,0,normal,0.3539,
FUSED_BIRD_068142_036,1,0.44375,0.496094,0.5,0.554688,0,0,0.4223,351.07,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_037,1,0.44375,0.496094,0.5,0.554688,bird,0,0.3751,774.43,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_038,1,0.6125,0.496094,0.684375,0.554688,0,0,0.4291,622.16,0,0,0,0,normal,0.067,
FUSED_BIRD_068142_039,1,0.44375,0.496094,0.5,0.554688,0,0,0.2594,740.84,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_040,1,0.609375,0.210938,0.68125,0.269531,0,0,0.3559,420.52,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_041,1,0.60625,0.214844,0.68125,0.273438,0,0,0.3562,426.06,0,0,0,0,none,0,
FUSED_BIRD_068142_042,0,0,0,0,0,0,0,0,429.68,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_043,1,0.365625,0.742188,0.4875,0.859375,0,0,0.6016,448.6,0,0,0,0,normal,0.0293,
FUSED_BIRD_068142_044,0,0,0,0,0,bird,0,0,641.32,0,0,0,0,normal,0.1984,
FUSED_BIRD_068142_045,1,0.60625,0.5,0.675,0.554688,0,0,0.5958,425.29,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_046,1,0.44375,0.5,0.5,0.554688,0,0,0.4031,427.91,0,0,0,0,normal,0.0293,
FUSED_BIRD_068142_047,1,0.44375,0.5,0.5,0.554688,0,0,0.7797,687.92,0,0,0,0,normal,0.0518,
FUSED_BIRD_068142_048,0,0,0,0,0,0,0,0,676.53,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_049,0,0,0,0,0,0,0,0,660.61,0,0,0,0,normal,0.0293,
FUSED_BIRD_068142_050,0,0,0,0,0,0,0,0,574.13,0,0,0,0,normal,0.1652,
FUSED_BIRD_068142_051,1,0.375,0.730469,0.5125,0.855469,0,0,0.4979,676.42,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_052,0,0,0,0,0,0,0,0,633.16,0,0,0,0,normal,0.0291,
FUSED_BIRD_068142_053,1,0.446875,0.496094,0.5,0.550781,0,0,0.6594,685.25,0,0,0,0,normal,0.0967,
FUSED_BIRD_068142_054,1,0.446875,0.5,0.5,0.554688,0,0,0.8058,728.78,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_055,1,0.44375,0.5,0.496875,0.554688,0,0,0.7844,651.8,0,0,0,0,normal,0.0291,
FUSED_BIRD_068142_056,1,0.446875,0.5,0.5,0.554688,0,0,0.7842,708.64,0,0,0,0,normal,0.4543,
FUSED_BIRD_068142_057,1,0.446875,0.5,0.5,0.554688,0,0,0.8031,699.43,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_058,0,0,0,0,0,0,0,0,652.21,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_059,0,0,0,0,0,0,0,0,677.57,0,0,0,0,normal,0.0578,
FUSED_BIRD_068142_060,1,0.446875,0.496094,0.5,0.550781,0,0,0.6863,688.53,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_061,1,0.446875,0.5,0.5,0.554688,0,0,0.7292,432.7,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_062,1,0.446875,0.5,0.5,0.554688,0,0,0.7869,436,0,0,0,0,normal,0.1547,
FUSED_BIRD_068142_063,1,0.446875,0.5,0.5,0.554688,0,0,0.6958,737.51,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_064,1,0.446875,0.503906,0.5,0.558594,0,0,0.8164,720.42,0,0,0,0,normal,0.0292,
FUSED_BIRD_068142_065,1,0.446875,0.5,0.5,0.554688,0,0,0.8124,447.28,0,0,0,0,normal,0.0398,
FUSED_BIRD_068142_066,1,0.44375,0.496094,0.496875,0.550781,0,0,0.4716,732.17,0,0,0,0,normal,0.0296,
FUSED_BIRD_068142_067,1,0.44375,0.496094,0.496875,0.550781,0,0,0.513,677.77,0,0,0,0,normal,0.0297,
FUSED_BIRD_068142_068,1,0.44375,0.496094,0.496875,0.550781,0,0,0.5159,720.69,0,0,0,0,normal,0.0505,
FUSED_BIRD_068142_069,1,0.44375,0.496094,0.496875,0.550781,0,0,0.7756,613.87,0,0,0,0,normal,0.0296,
FUSED_BIRD_068142_070,1,0.44375,0.5,0.5,0.554688,0,0,0.739,675.66,0,0,0,0,normal,0.0298,
FUSED_BIRD_068142_071,1,0.446875,0.496094,0.5,0.554688,0,0,0.5813,452.94,0,0,0,0,normal,0.0343,
FUSED_BIRD_068142_072,1,0.44375,0.5,0.5,0.554688,0,0,0.6477,692.31,0,0,0,0,normal,0.0296,
FUSED_BIRD_068142_073,1,0.44375,0.5,0.5,0.554688,0,0,0.7754,748.84,0,0,0,0,normal,0.0297,
FUSED_BIRD_068142_074,1,0.44375,0.5,0.496875,0.554688,0,0,0.766,631.11,0,0,0,0,normal,0.1465,
FUSED_BIRD_068142_075,1,0.44375,0.5,0.496875,0.554688,0,0,0.5853,774.15,0,0,0,0,normal,0.0296,
FUSED_BIRD_068142_076,1,0.44375,0.496094,0.496875,0.554688,0,0,0.5241,708.12,0,0,0,0,normal,0.0297,
FUSED_BIRD_068142_077,1,0.44375,0.496094,0.5,0.550781,0,0,0.5057,736.61,0,0,0,0,normal,0.0326,
FUSED_BIRD_068142_078,1,0.44375,0.496094,0.5,0.550781,0,0,0.7167,459.2,0,0,0,0,normal,0.0296,
FUSED_BIRD_068142_079,1,0.44375,0.496094,0.5,0.550781,0,0,0.7715,491.78,0,0,0,0,normal,0.0299,
FUSED_BIRD_068142_080,1,0.446875,0.5,0.5,0.554688,0,0,0.8222,863.7,0,0,0,0,normal,0.1023,
FUSED_BIRD_068142_081,1,0.44375,0.5,0.496875,0.554688,0,0,0.8245,770.34,0,0,0,0,normal,0.0296,
FUSED_BIRD_068142_082,1,0.44375,0.5,0.496875,0.554688,0,0,0.8221,778.53,0,0,0,0,normal,0.0296,
FUSED_BIRD_068142_083,1,0.44375,0.496094,0.5,0.550781,0,0,0.7776,765.49,0,0,0,0,normal,0.0566,
FUSED_BIRD_068142_084,1,0.44375,0.5,0.5,0.554688,0,0,0.7751,497.08,0,0,0,0,normal,0.0296,
FUSED_BIRD_068142_085,1,0.44375,0.496094,0.5,0.550781,0,0,0.7947,663.26,0,0,0,0,normal,0.0297,
FUSED_BIRD_068142_086,1,0.44375,0.496094,0.5,0.550781,0,0,0.7948,446.1,0,0,0,0,normal,0.0401,
FUSED_BIRD_068142_087,1,0.44375,0.496094,0.5,0.550781,0,0,0.7952,792.56,0,0,0,0,normal,0.0296,
FUSED_BIRD_068142_088,1,0.44375,0.496094,0.5,0.550781,0,0,0.7925,426.22,0,0,0,0,normal,0.0298,
FUSED_BIRD_068142_089,1,0.44375,0.496094,0.5,0.550781,0,0,0.8264,655.11,0,0,0,0,normal,0.0512,
FUSED_BIRD_068142_090,1,0.44375,0.496094,0.5,0.550781,0,0,0.821,400.48,0,0,0,0,normal,0.0296,
FUSED_BIRD_068142_091,1,0.44375,0.496094,0.5,0.550781,0,0,0.8128,723.03,0,0,0,0,normal,0.0297,
FUSED_BIRD_068142_092,1,0.44375,0.492188,0.5,0.546875,0,0,0.7963,330.03,0,0,0,0,normal,0.0845,
FUSED_BIRD_068142_093,1,0.44375,0.492188,0.5,0.546875,0,0,0.7963,754.69,0,0,0,0,normal,0.0296,
FUSED_BIRD_068142_094,1,0.44375,0.496094,0.5,0.546875,0,0,0.8,661.46,0,0,0,0,normal,0.03,
FUSED_BIRD_068142_095,1,0.44375,0.496094,0.5,0.550781,0,0,0.8015,668.3,0,0,0,0,normal,0.0874,
FUSED_BIRD_068142_096,1,0.44375,0.492188,0.5,0.550781,0,0,0.8081,691.44,0,0,0,0,normal,0.0296,
FUSED_BIRD_068142_097,1,0.44375,0.496094,0.5,0.550781,0,0,0.8099,656.92,0,0,0,0,normal,0.0297,
FUSED_BIRD_068142_098,1,0.44375,0.496094,0.5,0.550781,0,0,0.8081,630.18,0,0,0,0,normal,0.0476,
FUSED_BIRD_068142_099,1,0.44375,0.496094,0.5,0.550781,0,0,0.8189,387.52,0,0,0,0,normal,0.0291,
FUSED_BIRD_068142_100,1,0.446875,0.496094,0.5,0.550781,0,0,0.7605,556.2,0,0,0,0,normal,0.0289,
FUSED_BIRD_068142_101,1,0.446875,0.496094,0.5,0.550781,0,0,0.7604,649.58,0,0,0,0,normal,0.0516,
FUSED_BIRD_068142_102,1,0.446875,0.496094,0.5,0.550781,0,0,0.7751,370.43,0,0,0,0,normal,0.0291,
FUSED_BIRD_068142_103,1,0.44375,0.496094,0.5,0.550781,0,0,0.6109,627.41,0,0,0,0,normal,0.0293,
FUSED_BIRD_068142_104,1,0.44375,0.496094,0.5,0.550781,0,0,0.496,771.6,0,0,0,0,normal,0.1829,
FUSED_BIRD_068142_105,1,0.44375,0.496094,0.5,0.550781,0,0,0.496,535.65,0,0,0,0,normal,0.0291,
FUSED_BIRD_068142_106,1,0.44375,0.496094,0.5,0.550781,0,0,0.3318,437.7,0,0,0,0,normal,0.0291,
FUSED_BIRD_068142_107,1,0.44375,0.5,0.496875,0.554688,0,0,0.719,793.03,0,0,0,0,normal,0.1621,
FUSED_BIRD_068142_108,1,0.44375,0.5,0.496875,0.554688,0,0,0.7969,664.16,0,0,0,0,normal,0.0291,
FUSED_BIRD_068142_109,1,0.44375,0.5,0.5,0.554688,0,0,0.8217,648.99,0,0,0,0,normal,0.0288,
FUSED_BIRD_068142_110,1,0.44375,0.5,0.5,0.554688,0,0,0.8216,730.27,0,0,0,0,normal,0.0561,
FUSED_BIRD_068142_111,1,0.44375,0.496094,0.5,0.550781,0,0,0.7132,694.78,0,0,0,0,normal,0.0291,
FUSED_BIRD_068142_112,1,0.44375,0.496094,0.5,0.550781,0,0,0.5623,643.17,0,0,0,0,normal,0.0289,
FUSED_BIRD_068142_113,1,0.44375,0.496094,0.5,0.550781,0,0,0.7102,445.56,0,0,0,0,normal,0.0566,
FUSED_BIRD_068142_114,1,0.446875,0.496094,0.5,0.550781,0,0,0.7547,721.97,0,0,0,0,normal,0.0291,
FUSED_BIRD_068142_115,1,0.446875,0.5,0.5,0.554688,0,0,0.8154,742.02,0,0,0,0,normal,0.0291,
FUSED_BIRD_068142_116,1,0.446875,0.5,0.5,0.554688,0,0,0.8142,732.35,0,0,0,0,normal,0.0409,
FUSED_BIRD_068142_117,1,0.44375,0.5,0.5,0.554688,0,0,0.8055,608.17,0,0,0,0,normal,0.0291,
FUSED_BIRD_068142_118,1,0.44375,0.496094,0.5,0.550781,0,0,0.7459,660.46,0,0,0,0,normal,0.0289,
FUSED_BIRD_068142_119,1,0.446875,0.5,0.5,0.554688,0,0,0.8185,640.62,0,0,0,0,normal,0.1588,
FUSED_BIRD_068142_120,1,0.44375,0.5,0.5,0.554688,0,0,0.8195,764.08,0,0,0,0,normal,0.0291,
FUSED_BIRD_068142_121,1,0.446875,0.5,0.5,0.554688,0,0,0.8264,366.98,0,0,0,0,normal,0.029,
