Frame_name,track_id,x_min_norm,y_min_norm,x_max_norm,y_max_norm,class_label,direction,confidence_detection,inference_time_detection (ms),FPS (CPU),FPS (GPU),confidence_track,inference_time_track (ms),payload_label,prob_harmful
IR_DRONE_141294_103_png.rf.73d8b467c98374ab332a24b2982d6a5c,0,0,0,0,0,0,0,0,2702.77,0,0,0,0,0,0
IR_BIRD_070144_191,1,0.45625,0.484375,0.503125,0.546875,bird,0,0.6604,889.02,0,0,0,0,0,0
IR_BIRD_072146_004,0,0,0,0,0,0,0,0,747.62,0,0,0,0,0,0
IR_DRONE_153306_009,0,0,0,0,0,0,0,0,781.5,0,0,0,0,0,0
IR_BIRD_071145_078,0,0,0,0,0,0,0,0,737.24,0,0,0,0,0,0
IR_DRONE_141294_149_png.rf.c1d60656b39f1d2e7178a0363000d980,1,0.46875,0.3125,0.51875,0.363281,drone,0,0.2633,682.8,0,0,0,0,0,0
IR_BIRD_068142_160,1,0.440625,0.492188,0.503125,0.558594,bird,0,0.7951,701.15,0,0,0,0,0,0
IR_DRONE_144297_302,0,0,0,0,0,0,0,0,688.81,0,0,0,0,0,0
IR_BIRD_069143_106,0,0,0,0,0,0,0,0,651.22,0,0,0,0,0,0
IR_DRONE_140293_196_png.rf.1fbecb3f1f0540523fe13b01e57ca344,1,0.790625,0.1875,0.859375,0.238281,drone,0,0.6882,667.26,0,0,0,0,0,0
IR_BIRD_068142_006,0,0,0,0,0,0,0,0,739.68,0,0,0,0,0,0
IR_BIRD_071145_034,0,0,0,0,0,0,0,0,738.03,0,0,0,0,0,0
IR_BIRD_070144_291,0,0,0,0,0,0,0,0,668.94,0,0,0,0,0,0
IR_DRONE_144297_103,0,0,0,0,0,0,0,0,736.99,0,0,0,0,0,0
IR_DRONE_156309_237,0,0,0,0,0,0,0,0,654.82,0,0,0,0,0,0
IR_DRONE_140293_261_png.rf.f6425ed8bb719a6abd7a629e45b8cce0,0,0,0,0,0,0,0,0,636.56,0,0,0,0,0,0
IR_DRONE_156309_094,0,0,0,0,0,0,0,0,760.73,0,0,0,0,0,0
IR_BIRD_073147_146_png.rf.b2b1c76116fca6909f745dae1c62ffba,0,0,0,0,0,0,0,0,685.97,0,0,0,0,0,0
IR_DRONE_150303_115,1,0.409375,0.445312,0.465625,0.496094,drone,0,0.519,676.77,0,0,0,0,0,0
IR_BIRD_071145_236,0,0,0,0,0,0,0,0,745.23,0,0,0,0,0,0
IR_DRONE_156309_211,0,0,0,0,0,0,0,0,734.58,0,0,0,0,0,0
IR_BIRD_071145_291,0,0,0,0,0,0,0,0,643.35,0,0,0,0,0,0
IR_BIRD_070144_267,0,0,0,0,0,0,0,0,679.17,0,0,0,0,0,0
IR_DRONE_144297_261,1,0.53125,0.121094,0.575,0.164062,drone,0,0.7279,725.77,0,0,0,0,0,0
IR_DRONE_151304_036,0,0,0,0,0,0,0,0,691.99,0,0,0,0,0,0
IR_DRONE_143296_001_png.rf.d3cce9fd493e1e982c53dc4a151d7fc4,0,0,0,0,0,0,0,0,692.94,0,0,0,0,0,0
IR_BIRD_073147_168_png.rf.3883ffd03fb8b025402d60dae9652781,0,0,0,0,0,0,0,0,740.3,0,0,0,0,0,0
IR_DRONE_154307_248,0,0,0,0,0,0,0,0,665.42,0,0,0,0,0,0
IR_DRONE_141294_075_png.rf.35aeae1085a93c6ab47ff777179c630d,0,0,0,0,0,0,0,0,673.76,0,0,0,0,0,0
IR_BIRD_073147_047_png.rf.358cef6f4ce5ce4b519795fa9df4b47c,0,0,0,0,0,0,0,0,734.04,0,0,0,0,0,0
IR_DRONE_143296_081_png.rf.a6e113b50c4837476108049fd1e91eff,0,0,0,0,0,0,0,0,681.3,0,0,0,0,0,0
IR_DRONE_140293_184_png.rf.e407dc8cababecf425d7cf7c3e3beacb,0,0,0,0,0,0,0,0,652.15,0,0,0,0,0,0
IR_DRONE_143296_029_png.rf.6d3712cf2a7a0d0e71daf99916cd8c25,0,0,0,0,0,0,0,0,733.27,0,0,0,0,0,0
IR_DRONE_149302_154,1,0.409375,0.429688,0.459375,0.488281,drone,0,0.503,694.21,0,0,0,0,0,0
IR_DRONE_151304_081,0,0,0,0,0,0,0,0,724.69,0,0,0,0,0,0
IR_BIRD_070144_156,1,0.5125,0.46875,0.559375,0.53125,bird,0,0.3444,642.42,0,0,0,0,0,0
IR_BIRD_073147_105_png.rf.99a5a5c067da7b76ee2bdc49d9f0259f,0,0,0,0,0,0,0,0,650.5,0,0,0,0,0,0
IR_DRONE_148301_107,0,0,0,0,0,0,0,0,734.74,0,0,0,0,0,0
