Frame_name,track_id,x_min_norm,y_min_norm,x_max_norm,y_max_norm,class_label,direction,confidence_detection,inference_time_detection (ms),FPS (CPU),FPS (GPU),confidence_track,inference_time_track (ms),payload_label,prob_harmful
V_DRONE_100210_303,1.0,0.134375,0.765625,0.210938,0.839844,drone,0,0.7759,5061.62,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_084194_193_png.rf.899e5c00057aea901db0891891a26562,1.0,0.696875,0.605469,0.746875,0.648438,drone,0,0.8755,311.66,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_110220_134,1.0,0.395313,0.482422,0.442188,0.535156,drone,0,0.8242,289.36,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_03796_104_png.rf.27303f8f521d59c0204c4f08cf20a181,1.0,0.55,0.644531,0.6,0.707031,bird,0,0.5629,287.04,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_110220_202,1.0,0.395313,0.474609,0.446875,0.529297,drone,0,0.7418,284.72,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_084194_243_png.rf.13e067c7f3cfaf474720cfeb4e28553e,1.0,0.753125,0.605469,0.8,0.644531,drone,0,0.924,285.3,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_109219_304,1.0,0.242188,0.404297,0.296875,0.453125,drone,0,0.8154,283.39,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_098208_286,1.0,0.728125,0.193359,0.778125,0.236328,drone,0,0.6648,287.09,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_03796_198_png.rf.6a898e2b17b637846fd69dcc39042c32,1.0,0.553125,0.640625,0.596875,0.699219,bird,0,0.5569,288.33,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_110220_159,1.0,0.398438,0.482422,0.44375,0.535156,drone,0,0.8169,287.93,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_048107_235,1.0,0.404687,0.248047,0.4625,0.308594,bird,0,0.7824,287.45,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_102212_302,1.0,0.6875,0.029297,0.74375,0.080078,drone,0,0.9153,286.5,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_098208_005,1.0,0.365625,0.054688,0.40625,0.095703,drone,0,0.7491,288.07,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_107217_058,1.0,0.40625,0.228516,0.457813,0.279297,drone,0,0.7448,283.34,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_102212_133,1.0,0.917188,0.253906,0.998437,0.324219,drone,0,0.6578,286.09,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_103213_073,0.0,0.0,0.0,0.0,0.0,0,0,0.0,282.61,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_098208_128,1.0,0.501563,0.263672,0.54375,0.302734,drone,0,0.8239,283.14,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_092202_313_png.rf.0d9459a1ac7b9fc1d080039b9e5263b5,1.0,0.884375,0.394531,0.9375,0.464844,drone,0,0.5634,294.1,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_03796_323_png.rf.10baba41f86263dcfe430fcabbaaf801,1.0,0.55,0.636719,0.596875,0.707031,bird,0,0.6452,282.63,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_092202_115_png.rf.0c015780ab163667418dc1afd80a427c,1.0,0.684375,0.25,0.740625,0.308594,drone,0,0.8883,282.33,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_098208_070,1.0,0.753125,0.064453,0.820312,0.125,drone,0,0.8577,283.98,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_03796_019_png.rf.91a90ddcb99e4f7ab5e82802ea2735ec,1.0,0.5625,0.675781,0.609375,0.742188,bird,0,0.291,283.32,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_102212_027,1.0,0.50625,0.234375,0.592187,0.285156,drone,0,0.7295,283.49,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_092202_077_png.rf.1ce5a529553d5ac49d098b7fbd33ce8a,1.0,0.653125,0.210938,0.725,0.269531,drone,0,0.6902,287.26,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_092202_064_png.rf.b0a1ffe5d9aba56c5444659eaa0171f8,1.0,0.628125,0.167969,0.71875,0.230469,drone,0,0.7612,279.85,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_109219_093,1.0,0.0125,0.332031,0.067187,0.384766,drone,0,0.6374,282.25,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_103213_250,1.0,0.726562,0.193359,0.784375,0.25,drone,0,0.7124,281.44,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_048107_216,1.0,0.420312,0.572266,0.4625,0.621094,bird,0,0.8269,284.21,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_113223_146,0.0,0.0,0.0,0.0,0.0,0,0,0.0,282.37,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_113223_167,0.0,0.0,0.0,0.0,0.0,0,0,0.0,280.4,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_109219_270,1.0,0.248438,0.359375,0.301563,0.40625,drone,0,0.7773,282.39,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_084194_154_png.rf.4b30005d15ced6da3023c5a29ce8e47a,1.0,0.71875,0.621094,0.8,0.691406,drone,0,0.847,283.2,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_107217_154,1.0,0.171875,0.646484,0.217188,0.708984,drone,0,0.8696,281.64,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_107217_154,2.0,0.559375,0.398438,0.61875,0.451172,drone,0,0.7872,281.64,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_092202_142_png.rf.f683d38c4bebfadd86e45db0fa9d3f4b,1.0,0.709375,0.332031,0.765625,0.390625,drone,0,0.887,282.73,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_098208_076,1.0,0.742188,0.083984,0.809375,0.146484,drone,0,0.8976,283.46,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_107217_106,1.0,0.475,0.464844,0.539062,0.513672,drone,0,0.7499,280.87,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_100210_325,1.0,0.220312,0.521484,0.315625,0.589844,drone,0,0.9306,282.34,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_00564_074_png.rf.01fa14607234f1b2de1447051f959e3b,0.0,0.0,0.0,0.0,0.0,0,0,0.0,281.54,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_03796_307_png.rf.55e0d26c617f98ff57e761164fd5df53,1.0,0.55,0.636719,0.596875,0.707031,bird,0,0.4636,282.87,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_03796_307_png.rf.55e0d26c617f98ff57e761164fd5df53,2.0,0.54375,0.625,0.60625,0.714844,bird,0,0.2624,282.87,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_03796_054_png.rf.b1ef1c71416485bb1e088d48074a13c5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,315.05,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_084194_242_png.rf.4ec08040490015adf90b4a0820efd13b,1.0,0.753125,0.605469,0.803125,0.648438,drone,0,0.9167,284.33,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_110220_148,1.0,0.396875,0.482422,0.440625,0.53125,drone,0,0.8197,282.04,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_103213_318,1.0,0.735938,0.195312,0.795312,0.253906,drone,0,0.8034,281.1,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_092202_005_png.rf.ac2325b5a2c301f72e8d65d8645dbeb2,1.0,0.6125,0.160156,0.7125,0.230469,drone,0,0.9257,281.53,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_109219_147,1.0,0.279687,0.351562,0.3375,0.404297,drone,0,0.8029,284.1,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_092202_212_png.rf.1f8f8f78c01db230d47783f4602a03a6,1.0,0.68125,0.425781,0.746875,0.476562,drone,0,0.9079,283.37,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_113223_183,0.0,0.0,0.0,0.0,0.0,0,0,0.0,282.06,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_046105_154,1.0,0.4375,0.449219,0.48125,0.503906,bird,0,0.862,282.66,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_084194_222_png.rf.551837c32764c1072c9cf976bf84b9d4,1.0,0.746875,0.617188,0.79375,0.65625,drone,0,0.916,281.99,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_049108_141,1.0,0.492188,0.228516,0.540625,0.292969,bird,0,0.6507,282.11,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_103213_014,0.0,0.0,0.0,0.0,0.0,0,0,0.0,280.9,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_100210_033,1.0,0.485938,0.417969,0.535937,0.482422,drone,0,0.6601,282.03,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_100210_167,1.0,0.351562,0.169922,0.415625,0.232422,drone,0,0.7548,282.73,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_106216_082,1.0,0.546875,0.419922,0.614062,0.46875,drone,0,0.8694,281.13,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_112222_111,0.0,0.0,0.0,0.0,0.0,0,0,0.0,280.21,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_098208_255,1.0,0.528125,0.265625,0.584375,0.320312,drone,0,0.6804,284.03,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_098208_026,1.0,0.254688,0.064453,0.296875,0.101562,drone,0,0.8369,282.4,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_048107_014,0.0,0.0,0.0,0.0,0.0,0,0,0.0,279.43,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_048107_271,1.0,0.557813,0.105469,0.6375,0.189453,bird,0,0.5181,281.41,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_092202_261_png.rf.407e5c12f34d0f1c73177f92e8bb3a40,1.0,0.696875,0.46875,0.7625,0.515625,drone,0,0.4239,282.68,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_092202_261_png.rf.407e5c12f34d0f1c73177f92e8bb3a40,2.0,0.6875,0.460938,0.775,0.523438,drone,0,0.4217,282.68,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_084194_300_png.rf.ce3b5e1d4b10615050c49831d4796251,1.0,0.721875,0.414062,0.76875,0.464844,drone,0,0.8932,283.25,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_03796_024_png.rf.5d4ba69715f3e5c9d91c569ba04aca58,1.0,0.565625,0.671875,0.609375,0.730469,bird,0,0.5311,282.08,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_03796_024_png.rf.5d4ba69715f3e5c9d91c569ba04aca58,2.0,0.559375,0.664062,0.615625,0.742188,bird,0,0.2515,282.08,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_109219_095,1.0,0.015625,0.333984,0.070312,0.386719,drone,0,0.4969,280.88,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_092202_275_png.rf.2e5484a44d0fada9b9753d3aa8498810,1.0,0.703125,0.425781,0.75625,0.46875,drone,0,0.847,282.13,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_102212_182,1.0,0.875,0.402344,0.94375,0.453125,drone,0,0.8182,283.84,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_03796_023_png.rf.94fc0bcc39d0f02739aa4846082ecb69,1.0,0.5625,0.671875,0.609375,0.734375,bird,0,0.3793,282.75,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_03796_023_png.rf.94fc0bcc39d0f02739aa4846082ecb69,2.0,0.55625,0.65625,0.621875,0.746094,bird,0,0.256,282.75,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_048107_060,0.0,0.0,0.0,0.0,0.0,0,0,0.0,282.29,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_048107_007,1.0,0.40625,0.742188,0.457813,0.798828,bird,0,0.5909,283.27,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_03796_290_png.rf.4448c7b9f53acd7251f557a39dc8cda1,1.0,0.553125,0.640625,0.596875,0.699219,bird,0,0.4431,282.21,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_092202_257_png.rf.ead08218ece3ce9abf5c126820aab54f,1.0,0.678125,0.472656,0.778125,0.53125,drone,0,0.8897,283.1,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_092202_272_png.rf.78f5dc942305a4f5d57833bee7619193,1.0,0.696875,0.429688,0.75625,0.476562,drone,0,0.8766,284.25,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_084194_156_png.rf.58c052416b6c7f2db1383da2fc4f2da9,1.0,0.71875,0.617188,0.796875,0.695312,drone,0,0.869,283.77,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_106216_262,1.0,0.504687,0.15625,0.551562,0.208984,drone,0,0.786,284.58,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_048107_047,0.0,0.0,0.0,0.0,0.0,0,0,0.0,282.09,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_03796_044_png.rf.f55a92a8bea2ab914eacf77fe6c0db9b,1.0,0.553125,0.667969,0.603125,0.734375,bird,0,0.5449,282.73,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_106216_027,1.0,0.44375,0.230469,0.489063,0.277344,drone,0,0.8288,281.82,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_03796_189_png.rf.77ed3c4b67759d3897eee7ac547cb26c,1.0,0.55625,0.644531,0.59375,0.695312,bird,0,0.4539,286.07,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_010120_026_png.rf.70d3a0ad6dd052a5d1c9849be4bed97c,1.0,0.68125,0.265625,0.721875,0.3125,bird,0,0.8293,283.44,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_049108_298,0.0,0.0,0.0,0.0,0.0,0,0,0.0,281.99,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_092202_207_png.rf.1d832b444a359cf850688e60e95a6308,1.0,0.6875,0.4375,0.740625,0.480469,drone,0,0.9154,281.61,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_110220_220,1.0,0.389062,0.458984,0.448437,0.519531,drone,0,0.8101,287.77,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_046105_142,1.0,0.439063,0.458984,0.48125,0.513672,bird,0,0.8429,286.81,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_03796_181_png.rf.5f2b4d84c6ffd589450471a13a274436,1.0,0.553125,0.644531,0.59375,0.703125,bird,0,0.5731,284.12,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_106216_114,1.0,0.53125,0.359375,0.59375,0.410156,drone,0,0.8539,283.25,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_106216_114,2.0,0.335938,0.603516,0.379688,0.662109,drone,0,0.4267,283.25,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_046105_074,0.0,0.0,0.0,0.0,0.0,0,0,0.0,282.94,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_100210_029,1.0,0.489063,0.439453,0.548438,0.494141,drone,0,0.6053,283.58,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_084194_198_png.rf.93e48cdececd43f08fdf19d679529295,1.0,0.69375,0.613281,0.746875,0.65625,drone,0,0.8356,282.8,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_110220_100,1.0,0.415625,0.478516,0.465625,0.533203,drone,0,0.7923,285.15,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_109219_321,1.0,0.242188,0.482422,0.2875,0.533203,drone,0,0.7844,283.67,0.0,0.0,0.0,0.0,0,0.0
V_BIRD_048107_103,1.0,0.64375,0.564453,0.690625,0.634766,bird,0,0.8582,284.91,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_107217_023,1.0,0.409375,0.027344,0.464062,0.080078,drone,0,0.8515,280.71,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_092202_227_png.rf.bae736cc48200a2b57fda9f62ca91023,1.0,0.69375,0.445312,0.75,0.492188,drone,0,0.8803,282.96,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_110220_193,1.0,0.396875,0.484375,0.445312,0.539062,drone,0,0.8343,288.07,0.0,0.0,0.0,0.0,0,0.0
V_DRONE_084194_160_png.rf.343680ba3688cec57e86599746fdb9b5,1.0,0.71875,0.613281,0.790625,0.6875,drone,0,0.7581,283.38,0.0,0.0,0.0,0.0,0,0.0
